sample,oldName,ID,region,bank,site,date,species,latDD,longDD,depthFt,depthM,depthZone
XGM012,XGM015,XGM012,NWGOM,EFGB,EBShal1,7/10/18,X. muta,27.9114,-93.59821,70,21.3,Shallow
XGM013,XGM016,XGM013,NWGOM,EFGB,EBShal1,7/10/18,X. muta,27.9114,-93.59821,79,24.1,Shallow
XGM014,XGM017,XGM014,NWGOM,EFGB,EBMeso1,7/10/18,X. muta,27.91102,-93.59668,159,48.5,Mesophotic
XGM015,XGM018,XGM015,NWGOM,EFGB,EBMeso1,7/10/18,X. muta,27.91102,-93.59668,156,47.5,Mesophotic
XGM016,XGM019,XGM016,NWGOM,EFGB,EBMeso1,7/10/18,X. muta,27.91102,-93.59668,144,43.9,Mesophotic
XGM017,XGM020,XGM017,NWGOM,EFGB,EBMeso1,7/10/18,X. muta,27.91102,-93.59668,148,45.1,Mesophotic
XGM018,XGM021,XGM018,NWGOM,EFGB,EBMeso1,7/10/18,X. muta,27.91102,-93.59668,142,43.3,Mesophotic
XGM019,XGM022,XGM019,NWGOM,EFGB,EBMeso1,7/10/18,X. muta,27.91102,-93.59668,141,43,Mesophotic
XGM020,XGM023,XGM020,NWGOM,EFGB,EBMeso1,7/10/18,X. muta,27.91102,-93.59668,140,42.7,Mesophotic
XGM021,XGM024,XGM021,NWGOM,EFGB,EBMeso1,7/10/18,X. muta,27.91102,-93.59668,146,44.5,Mesophotic
XGM022,XGM025,XGM022,NWGOM,EFGB,EBShal1,7/10/18,X. muta,27.9114,-93.59821,66,20.1,Shallow
XGM023,XGM026,XGM023,NWGOM,EFGB,EBShal1,7/10/18,X. muta,27.9114,-93.59821,69,21,Shallow
XGM024,XGM027,XGM024,NWGOM,EFGB,EBShal1,7/10/18,X. muta,27.9114,-93.59821,69,21,Shallow
XGM025,XGM028,XGM025,NWGOM,EFGB,EBShal1,7/10/18,X. muta,27.9114,-93.59821,86,26.2,Shallow
XGM026,XGM029,XGM026,NWGOM,EFGB,EBShal1,7/10/18,X. muta,27.9114,-93.59821,86,26.2,Shallow
XGM027,XGM030,XGM027,NWGOM,EFGB,EBShal1,7/10/18,X. muta,27.9114,-93.59821,75,22.9,Shallow
XGM028,XGM031,XGM028,NWGOM,EFGB,EBShal1,7/10/18,X. muta,27.9114,-93.59821,86,26.2,Shallow
XGM029,XGM032,XGM029,NWGOM,EFGB,EBShal1,7/10/18,X. muta,27.9114,-93.59821,86,26.2,Shallow
XGM030,XGM033,XGM030,NWGOM,EFGB,EBShal1,7/10/18,X. muta,27.9114,-93.59821,83,25.3,Shallow
XGM031,XGM034,XGM031,NWGOM,EFGB,EBShal1,7/10/18,X. muta,27.9114,-93.59821,85,25.9,Shallow
XGM032,XGM035,XGM032,NWGOM,EFGB,EBShal1,7/10/18,X. muta,27.9114,-93.59821,71,21.6,Shallow
